Rank,Lead ID,Name,Total Score,Status,Recommendation
1,"gym-30","Palembang Fitness Club #30",92,qualified,"Top tier candidate — highly recommended for personalized WhatsApp CRM consultation."
2,"gym-5","Palembang Fitness Club #5",91,qualified,"Top tier candidate — highly recommended for personalized WhatsApp CRM consultation."
3,"gym-24","Palembang Fitness Club #24",91,qualified,"Top tier candidate — highly recommended for personalized WhatsApp CRM consultation."
4,"gym-10","Palembang Fitness Club #10",87,qualified,"Top tier candidate — highly recommended for personalized WhatsApp CRM consultation."
5,"gym-4","Palembang Fitness Club #4",86,qualified,"Top tier candidate — highly recommended for personalized WhatsApp CRM consultation."
6,"gym-18","Palembang Fitness Club #18",86,qualified,"Top tier candidate — highly recommended for personalized WhatsApp CRM consultation."
7,"gym-20","Palembang Fitness Club #20",86,qualified,"Top tier candidate — highly recommended for personalized WhatsApp CRM consultation."
8,"gym-12","Palembang Fitness Club #12",85,qualified,"Top tier candidate — highly recommended for personalized WhatsApp CRM consultation."
9,"gym-28","Palembang Fitness Club #28",85,qualified,"Top tier candidate — highly recommended for personalized WhatsApp CRM consultation."
10,"gym-15","Palembang Fitness Club #15",83,qualified,"Top tier candidate — highly recommended for personalized WhatsApp CRM consultation."
11,"gym-29","Palembang Fitness Club #29",83,qualified,"Top tier candidate — highly recommended for personalized WhatsApp CRM consultation."
12,"gym-23","Palembang Fitness Club #23",82,qualified,"Top tier candidate — highly recommended for personalized WhatsApp CRM consultation."
13,"gym-14","Palembang Fitness Club #14",81,qualified,"Top tier candidate — highly recommended for personalized WhatsApp CRM consultation."
14,"gym-6","Palembang Fitness Club #6",80,qualified,"Top tier candidate — highly recommended for personalized WhatsApp CRM consultation."
15,"gym-9","Palembang Fitness Club #9",78,needs_review,"Moderate fit — needs secondary manual review on digital responsiveness before outreach."
16,"gym-25","Palembang Fitness Club #25",78,needs_review,"Moderate fit — needs secondary manual review on digital responsiveness before outreach."
17,"gym-3","Palembang Fitness Club #3",77,needs_review,"Moderate fit — needs secondary manual review on digital responsiveness before outreach."
18,"gym-17","Palembang Fitness Club #17",77,needs_review,"Moderate fit — needs secondary manual review on digital responsiveness before outreach."
19,"gym-19","Palembang Fitness Club #19",77,needs_review,"Moderate fit — needs secondary manual review on digital responsiveness before outreach."
20,"gym-11","Palembang Fitness Club #11",76,needs_review,"Moderate fit — needs secondary manual review on digital responsiveness before outreach."
21,"gym-27","Palembang Fitness Club #27",76,needs_review,"Moderate fit — needs secondary manual review on digital responsiveness before outreach."
22,"gym-8","Palembang Fitness Club #8",73,needs_review,"Moderate fit — needs secondary manual review on digital responsiveness before outreach."
23,"gym-22","Palembang Fitness Club #22",73,needs_review,"Moderate fit — needs secondary manual review on digital responsiveness before outreach."
24,"gym-13","Palembang Fitness Club #13",72,needs_review,"Moderate fit — needs secondary manual review on digital responsiveness before outreach."
25,"gym-16","Palembang Fitness Club #16",72,needs_review,"Moderate fit — needs secondary manual review on digital responsiveness before outreach."
26,"gym-7","Palembang Fitness Club #7",71,needs_review,"Moderate fit — needs secondary manual review on digital responsiveness before outreach."
27,"gym-21","Palembang Fitness Club #21",71,needs_review,"Moderate fit — needs secondary manual review on digital responsiveness before outreach."
28,"gym-2","Palembang Fitness Club #2",68,needs_review,"Moderate fit — needs secondary manual review on digital responsiveness before outreach."
29,"gym-26","Palembang Fitness Club #26",67,needs_review,"Moderate fit — needs secondary manual review on digital responsiveness before outreach."
30,"gym-1","Palembang Fitness Club #1",59,disqualified,"Low ICP fit — insufficient customer volume or retention requirement."
